List_3,  'https://hr.esunfhc.com/StaffAcquisition/hireexam/Index/',       Result: 'OK'
List_4,  'https://www.esunbank.com.tw/bank/bank-en',       Result: 'OK'
List_5,  'https://ebank.esunbank.com.tw/',       Result: 'OK'
List_6,  'https://gib.esunbank.com/',       Result: 'OK'
List_7,  'https://netbank.esunbank.com.tw/webatm/',       Result: 'OK'
List_8,  'https://www.esunbank.com.tw/event/wealth/financial_perspective/index.html',       Result: 'OK'
List_9,  'https://www.esunbank.com.tw/event/wealth/epaper/index.html',       Result: 'OK'
List_10,  'https://www.esunbank.com.tw/event/wealth/fund_portal/index.html?ven=wealth&amp;type=fund-sidebar',       Result: 'OK'
List_11,  'https://www.esunbank.com.tw/event/credit/1081130vbo/index.html?menu',       Result: 'OK'
List_12,  'https://www.esunbank.com.tw/event/credit/1070425wallet/index.html',       Result: 'OK'
List_13,  'https://www.esunbank.com.tw/event/credit/1091229pay_bills/index.html?ven=credit-card&amp;type=paybillbutton',       Result: 'OK'
List_14,  'https://www.esunbank.com.tw/event/credit/1081031service/index.html?menu',       Result: 'OK'
List_15,  'https://www.esunbank.com.tw/event/credit/ecard/index.htm',       Result: 'OK'
List_16,  'https://www.esunbank.com.tw/event/credit/1080703card/index.html',       Result: 'OK'
List_17,  'https://www.esunbank.com.tw/event/credit/1080912card/index.html',       Result: 'OK'
List_18,  'https://www.esunbank.com.tw/bank/personal/credit-card/tools/apply/electronicbill?ven=credit-card&amp;type=account-mbillbutton&amp;tabid=tab04',       Result: 'OK'
List_19,  'https://www.esunbank.com.tw/bank/personal/credit-card/tools/apply/auco?ven=credit-card&amp;type=deductionbutton&amp;tabid=tab02',       Result: 'OK'
List_20,  'https://www.esunbank.com.tw/event/loan/DC/new/?newweb',       Result: 'OK'
List_21,  'https://www.esunbank.com.tw/event/loan/DC/personal/?newweb',       Result: 'OK'
List_22,  'https://www.esunbank.com.tw/event/loan/DC/turnover/?newweb',       Result: 'OK'
List_23,  'https://www.esunbank.com.tw/event/loan/DC/startup/?newweb',       Result: 'OK'
List_24,  'https://www.esunbank.com.tw/event/loan/DC/wedding/?newweb',       Result: 'OK'
List_25,  'https://www.esunbank.com.tw/event/loan/DC/debt/?newweb',       Result: 'OK'
List_26,  'https://www.esunbank.com.tw/event/loan/DC/decoration/?newweb',       Result: 'OK'
List_27,  'https://www.esunbank.com.tw/event/loan/DC/car/?newweb',       Result: 'OK'
List_28,  'https://www.esunbank.com.tw/event/loan/DC/dream/index.html?newweb',       Result: 'OK'
List_29,  'https://www.esunbank.com.tw/s/PersonalLoanApply/Landing/IDConfirmDiversion?DG_landing',       Result: 'Redirect'
List_30,  'https://www.esunbank.com.tw/s/HouseLoanApply?olhap=1',       Result: 'OK'
List_31,  'https://www.esunbank.com.tw/s/HouseLoanApply?olhap=2',       Result: 'OK'
List_32,  'https://www.esunbank.com.tw/s/personalloanverification/',       Result: 'OK'
List_33,  'https://www.esunbank.com.tw/s/InquireAndUpload/Auth/OTPAuth',       Result: 'Redirect'
List_34,  'https://www.esunbank.com.tw/event/loan/DG/index.html?newweb',       Result: 'OK'
List_35,  'https://www.esunbank.com.tw/event/loan/house/loan/index.html?newweb',       Result: 'OK'
List_36,  'http://www.esunbank.com.tw/event/member/nocard_web/page.html',       Result: 'OK'
List_37,  'https://www.esunbank.com.tw/event/b2c/foreign/index.html',       Result: 'OK'
List_38,  'https://www.esunbank.com.tw/bank/about/locations/atm',       Result: 'OK'
List_39,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=web',       Result: 'OK'
List_40,  'https://easyfee.esunbank.com.tw/index.action',       Result: 'OK'
List_41,  'https://www.esunbank.com.tw/s/OnlineService',       Result: 'OK'
List_42,  'https://robot.esunbank.com.tw/index.php?eservice=Widget&qaCategory=general',       Result: 'OK'
List_43,  'https://www.esunbank.com.tw:443/bank/personal',       Result: 'OK'
List_44,  'http://www.esunbank.com.tw/bank/personal',       Result: 'RedirectMethod'
List_45,  'https://www.facebook.com/share.php?u=',       Result: 'Redirect'
List_46,  'https://twitter.com/intent/tweet?text=',       Result: 'Redirect'
List_47,  'https://www.esunbank.com.tw/event/member/ekyc/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_48,  'https://www.esunbank.com.tw/event/wealth/esg/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_49,  'https://robot.esunbank.com.tw/introduction/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_50,  'https://www.esunbank.com.tw/event/forex/marketing/tips/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_51,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_52,  'http://www.esunbank.com.tw/event/ntubranch/student/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_53,  'https://www.esunbank.com.tw/event/wealth/new180/index.html?ven=home&amp;type=b2560',       Result: 'OK'
List_54,  'https://ebank.esunbank.com.tw/index.jsp?ven=home&amp;type=login',       Result: 'OK'
List_55,  'https://gib.esunbank.com/?ven=home&amp;type=login',       Result: 'OK'
List_56,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=home&amp;type=login',       Result: 'OK'
List_57,  'https://www.esunbank.com.tw/event/credit/1040325ecard/?ven=home&amp;type=login',       Result: 'OK'
List_58,  'https://ebank.esunbank.com.tw/multilang/html/FCO08001_apply_pop.html?ven=home&amp;type=login',       Result: 'OK'
List_59,  'https://efingo.bank/announcement/winning-list-invite-202107',       Result: 'OK'
List_60,  'https://www.esunbank.com.tw/bank/marketing/loan/rescueplan-index?ven=home&amp;type=icon',       Result: 'OK'
List_61,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=home&amp;type=icon',       Result: 'OK'
List_62,  'https://ebank.esunbank.com.tw/ppc/ppc01001/PPC01001_Home.faces?ven=home&amp;type=icon',       Result: 'OK'
List_63,  'https://www.esunbank.com.tw/s/PersonalLoanApply/?ven=home&amp;type=icon',       Result: 'Redirect'
List_64,  'https://www.esunbank.com.tw/bank/personal/credit-card/intro?ven=home&amp;type=icon',       Result: 'OK'
List_65,  'https://www.esunbank.com.tw/bank/personal/wealth/fund/search?ven=home&amp;type=icon',       Result: 'OK'
List_66,  'https://www.esunbank.com.tw/bank/personal/deposit/rate/forex/exchange-rate-chart?Currency=USD/TWD&amp;ven=home&amp;type=icon',       Result: 'OK'
List_67,  'https://card.esunbank.com.tw/EsunCreditweb/txnproc/mail?gi=PG&amp;ven=home&amp;type=icon',       Result: 'OK'
List_68,  'https://www.esunbank.com.tw/s/WealthCalculation?ven=home&amp;type=icon',       Result: 'Redirect'
List_69,  'https://www.esunbank.com.tw/bank/digital/ecommerce/cross-border/paypal?ven=home&amp;type=icon',       Result: 'OK'
List_70,  'https://www.esunbank.com.tw/bank/personal/deposit/rate/foreign/deposit-rate?ven=home&amp;type=icon',       Result: 'OK'
List_71,  'https://www.esunbank.com.tw/s/HouseLoan/Registration?ven=home&amp;type=icon',       Result: 'OK'
List_72,  'https://www.esunbank.com.tw/bank/personal/credit-card/tools/billing/pay-bills?ven=home&amp;type=icon',       Result: 'OK'
List_73,  'https://www.esunbank.com.tw/bank/personal/wealth/gold/price/current-price?ven=home&amp;type=icon',       Result: 'OK'
List_74,  'https://www.esunbank.com.tw/bank/digital/online-service/payment?ven=home&amp;type=icon',       Result: 'OK'
List_76,  'https://www.esunbank.com.tw/event/credit/1050202card/index.htm?ven=home&amp;type=topic',       Result: 'OK'
List_77,  'https://www.esunbank.com.tw/bank/personal/credit-card/discount/shops?ven=home&amp;type=topic',       Result: 'OK'
List_78,  'https://www.esunbank.com.tw/bank/personal/credit-card/travel/news?ven=home&amp;type=topic',       Result: 'OK'
List_79,  'https://www.esunbank.com.tw/event/forex/marketing/holiday/index.html?ven=home&amp;type=topic',       Result: 'OK'
List_80,  'https://www.esunbank.com.tw/event/forex/marketing/fxatm/index.html?ven=home&amp;type=topic',       Result: 'OK'
List_81,  'https://www.esunbank.com.tw/event/forex/marketing/holiday/flow-app.html?ven=home&amp;type=topic',       Result: 'OK'
List_82,  'https://www.esunbank.com.tw/bank/personal/insurance/online/travel?ven=home&amp;type=topic',       Result: 'OK'
List_83,  'https://www.esunbank.com.tw/event/forex/situation/retirement/index.html?ven=home&amp;type=topic',       Result: 'OK'
List_84,  'https://www.esunbank.com.tw/event/wealth/averaging/daily_dollar_cost_averaging.html?ven=home&amp;type=topic',       Result: 'OK'
List_85,  'https://www.esunbank.com.tw/event/wealth/retirement/index.html?ven=home&amp;type=topic',       Result: 'OK'
List_86,  'https://www.esunbank.com.tw/event/loan/house/loan/housetip.html?ven=home&amp;type=topic',       Result: 'OK'
List_87,  'https://www.esunbank.com.tw/event/loan/DC/decoration/?ven=home&amp;type=topic',       Result: 'OK'
List_88,  'https://www.esunbank.com.tw/bank/personal/loan/house?ven=home&amp;type=topic',       Result: 'OK'
List_89,  'https://www.esunbank.com.tw/event/wealth/fund_portal/index.html?ven=home&amp;type=topic',       Result: 'OK'
List_90,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=campaign&amp;type=button',       Result: 'OK'
List_91,  'https://www.esunbank.com.tw/event/b2c/foreign/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_92,  'https://www.esunbank.com.tw/bank/personal/deposit/deopsit-event/exchange-rate?ven=home&amp;type=campaign',       Result: 'OK'
List_93,  'http://www.esunbank.com.tw/event/ntubranch/student/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_94,  'https://www.esunbank.com.tw/event/b2c/eb/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_95,  'https://www.esunbank.com.tw/event/loan/DG/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_96,  'https://www.esunbank.com.tw/efingo/campaign/together/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_97,  'https://www.esunbank.com.tw/event/wealth/insurance_car/index.html?ven=campaign&amp;type=button',       Result: 'OK'
List_98,  'https://www.esunbank.com.tw/event/wealth/ins-online/index.html?ven=home&amp;type=campaign',       Result: 'OK'
List_99,  'https://efingo.bank',       Result: 'OK'
List_100,  'https://www.esunbank.com.tw/event/m/app.html?ven=home&amp;type=b477',       Result: 'OK'
List_101,  'https://www.esunbank.com.tw/event/OpenAccount/marketing/index.html?ven=home&amp;type=b477',       Result: 'OK'
List_102,  'https://www.esunbank.com.tw/bank/about/services/customer?ven=home',       Result: 'OK'
List_103,  'https://www.esunbank.com.tw/event/credit/1081031service/index.html',       Result: 'OK'
List_104,  'https://www.esunbank.com.tw/event/member/esunapp/index.html',       Result: 'OK'
List_105,  'https://www.esunfhc.com/zh-tw/',       Result: 'OK'
List_106,  'https://www.esunfhc.com:443/about-esun/intro/subsidiaries?tabid=tab03',       Result: 'RedirectMethod'
List_108,  'https://www.esunconsulting.com.tw/',       Result: 'OK'
List_109,  'https://www.esunfhc.com:443/foundation',       Result: 'RedirectMethod'
List_110,  'http://ehr.esunbank.com.tw/ehr/?newweb',       Result: 'Redirect'
List_111,  'https://bit.ly/esuncat',       Result: 'Moved'
List_112,  'https://bit.ly/2PIWwm1',       Result: 'Moved'
List_113,  'https://bit.ly/31vQ5ba',       Result: 'Moved'
List_114,  'https://www.cdic.gov.tw/main_ch/chinese.html',       Result: 'OK'
List_115,  'https://accessible.esunbank.com.tw/Accessibility/Index',       Result: 'Redirect'
List_116,  'https://www.esunfhc.com/zh-tw/esg/overview/letter',       Result: 'OK'
